idx,matchtype,partid,ppartid
0,0,p0n16,n15
1,0,p0n27,n22
2,0,p0n62,n53
3,0,p0n84,n73
4,0,p0n97,n84
5,0,p0n5,n2
6,0,p0n40,n33
7,0,p0n50,n42
8,0,p0n72,n60
9,0,p0n113,n99
10,0,p0n121,n106
11,0,p0n134,n118
12,0,p0n146,n129
13,0,p0n7,n7
14,0,p0n12,n11
15,0,p0n19,n17
16,0,p0n22,n20
17,0,p0n30,n25
18,0,p0n36,n31
19,0,p0n43,n37
20,0,p0n46,n40
21,0,p0n53,n45
22,0,p0n58,n50
23,0,p0n68,n58
24,0,p0n75,n64
25,0,p0n80,n68
26,0,p0n88,n76
27,0,p0n93,n81
28,0,p0n102,n88
29,0,p0n109,n95
30,0,p0n115,n101
31,0,p0n118,n104
32,0,p0n155,n137
33,0,p0n179,n159
34,0,p0n166,n147
35,0,p0n125,n110
36,0,p0n130,n115
37,0,p0n137,n119
38,0,p0n142,n126
39,0,p0n148,n131
40,0,p0n152,n135
41,0,p0n157,n139
42,0,p0n163,n145
43,0,p0n169,n149
44,0,p0n175,n156
45,0,p0n182,n162
46,0,p0n185,n164
47,0,p0n3,n3
48,0,p0n9,n9
49,0,p0n39,n35
50,0,p0n44,n38
51,0,p0n48,n41
52,0,p0n77,n66
53,0,p0n111,n98
54,0,p0n116,n102
55,0,p0n15,n13
56,0,p0n20,n18
57,0,p0n24,n21
58,0,p0n32,n27
59,0,p0n82,n71
60,0,p0n89,n77
61,0,p0n95,n83
62,0,p0n104,n90
63,0,p0n178,n158
64,0,p0n183,n163
65,0,p0n165,n146
66,0,p0n172,n151
67,0,p0n0,n0
68,0,p0n6,n6
69,0,p0n11,n12
70,0,p0n18,n16
71,0,p0n21,n19
72,0,p0n29,n24
73,0,p0n35,n30
74,0,p0n42,n36
75,0,p0n45,n39
76,0,p0n55,n47
77,0,p0n65,n55
78,0,p0n70,n61
79,0,p0n79,n69
80,0,p0n86,n75
81,0,p0n91,n80
82,0,p0n100,n87
83,0,p0n107,n94
84,0,p0n114,n100
85,0,p0n117,n103
86,0,p0n153,n136
87,0,p0n160,n141
88,0,p0n181,n161
89,0,p0n184,n165
90,0,p0n83,n72
91,0,p0n90,n78
92,0,p0n96,n82
93,0,p0n105,n91
94,0,p0n132,n117
95,0,p0n139,n123
96,0,p0n144,n128
97,0,p0n150,n133
98,0,p0n120,n107
99,0,p0n127,n112
100,0,p0n8,n8
101,0,p0n13,n14
102,0,p0n33,n28
103,0,p0n60,n52
104,0,p0n67,n57
105,0,p0n76,n65
106,0,p0n87,n74
107,0,p0n92,n79
108,0,p0n101,n86
109,0,p0n108,n93
110,0,p0n176,n160
111,0,p0n2,n1
112,0,p0n10,n10
113,0,p0n37,n34
114,0,p0n52,n44
115,0,p0n57,n49
116,0,p0n74,n63
117,0,p0n78,n67
118,0,p0n110,n97
119,0,p0n124,n109
120,0,p0n129,n114
121,0,p0n136,n121
122,0,p0n141,n125
123,0,p0n147,n130
124,0,p0n151,n134
125,0,p0n156,n138
126,0,p0n162,n144
127,0,p0n168,n148
128,0,p0n174,n154
129,0,p0n34,n29
130,0,p0n81,n70
131,0,p0n106,n92
132,0,p0n126,n111
133,0,p0n149,n132
134,0,p0n161,n143
135,0,p0n173,n153
136,0,p0n28,n23
137,0,p0n31,n26
138,0,p0n38,n32
139,0,p0n56,n48
140,0,p0n73,n62
141,0,p0n99,n85
142,0,p0n103,n89
143,0,p0n119,n105
144,0,p0n128,n113
145,0,p0n138,n122
146,0,p0n159,n142
147,0,p0n171,n152
148,0,p0n51,n43
149,0,p0n54,n46
150,0,p0n63,n54
151,0,p0n69,n59
152,0,p0n123,n108
153,0,p0n131,n116
154,0,p0n140,n124
155,0,p0n158,n140
156,0,p0n170,n150
157,0,p0n66,n56
158,0,p0n135,n120
159,0,p0n177,n157
160,0,p0n59,n51
161,0,p0n143,n127
162,1,p0n4,undefined
163,1,p0n17,undefined
164,1,p0n14,undefined
165,1,p0n26,undefined
166,1,p0n41,undefined
167,1,p0n49,undefined
168,1,p0n61,undefined
169,1,p0n64,undefined
170,1,p0n71,undefined
171,1,p0n85,undefined
172,1,p0n98,undefined
173,1,p0n112,undefined
174,1,p0n122,undefined
175,1,p0n133,undefined
176,1,p0n145,undefined
177,1,p0n154,undefined
178,1,p0n167,undefined
179,1,p0n180,undefined
180,2,undefined,n4
181,2,undefined,n5
182,2,undefined,n96
183,2,undefined,n155
